Epoch 53/100, Loss: 0.0040, Accuracy: 0.8986, Precision: 0.8980, Recall: 0.8986, F1: 0.8982
Epoch 54/100, Loss: 0.0137, Accuracy: 0.8954, Precision: 0.8969, Recall: 0.8954, F1: 0.8929
Epoch 55/100, Loss: 0.0127, Accuracy: 0.8889, Precision: 0.8901, Recall: 0.8889, F1: 0.8874
Epoch 56/100, Loss: 0.0171, Accuracy: 0.9000, Precision: 0.9001, Recall: 0.9000, F1: 0.8988
Epoch 57/100, Loss: 0.0134, Accuracy: 0.8986, Precision: 0.8986, Recall: 0.8986, F1: 0.8986
Epoch 58/100, Loss: 0.0122, Accuracy: 0.8843, Precision: 0.8890, Recall: 0.8843, F1: 0.8846
Epoch 59/100, Loss: 0.0559, Accuracy: 0.8714, Precision: 0.8717, Recall: 0.8714, F1: 0.8686
Epoch 60/100, Loss: 0.0765, Accuracy: 0.9022, Precision: 0.9031, Recall: 0.9022, F1: 0.9025
Epoch 61/100, Loss: 0.0079, Accuracy: 0.9068, Precision: 0.9060, Recall: 0.9068, F1: 0.9062
Epoch 62/100, Loss: 0.0055, Accuracy: 0.9058, Precision: 0.9049, Recall: 0.9058, F1: 0.9048
Epoch 63/100, Loss: 0.0020, Accuracy: 0.9025, Precision: 0.9035, Recall: 0.9025, F1: 0.9012
Epoch 64/100, Loss: 0.0065, Accuracy: 0.8932, Precision: 0.8924, Recall: 0.8932, F1: 0.8919
Epoch 65/100, Loss: 0.0287, Accuracy: 0.8871, Precision: 0.8863, Recall: 0.8871, F1: 0.8864
Epoch 66/100, Loss: 0.0764, Accuracy: 0.8972, Precision: 0.8968, Recall: 0.8972, F1: 0.8970
Epoch 67/100, Loss: 0.0084, Accuracy: 0.9004, Precision: 0.9004, Recall: 0.9004, F1: 0.8999
Epoch 68/100, Loss: 0.0030, Accuracy: 0.8993, Precision: 0.8987, Recall: 0.8993, F1: 0.8986
Epoch 69/100, Loss: 0.0178, Accuracy: 0.8990, Precision: 0.8990, Recall: 0.8990, F1: 0.8985
Epoch 70/100, Loss: 0.0068, Accuracy: 0.8979, Precision: 0.8985, Recall: 0.8979, F1: 0.8982
Epoch 71/100, Loss: 0.0190, Accuracy: 0.8993, Precision: 0.8994, Recall: 0.8993, F1: 0.8989
Epoch 72/100, Loss: 0.0092, Accuracy: 0.9022, Precision: 0.9023, Recall: 0.9022, F1: 0.9014
Epoch 73/100, Loss: 0.0071, Accuracy: 0.8986, Precision: 0.8976, Recall: 0.8986, F1: 0.8978
Epoch 74/100, Loss: 0.0142, Accuracy: 0.8861, Precision: 0.8869, Recall: 0.8861, F1: 0.8838
Epoch 75/100, Loss: 0.0199, Accuracy: 0.8979, Precision: 0.8972, Recall: 0.8979, F1: 0.8965
Epoch 76/100, Loss: 0.0050, Accuracy: 0.8961, Precision: 0.8953, Recall: 0.8961, F1: 0.8951
Epoch 77/100, Loss: 0.0019, Accuracy: 0.9008, Precision: 0.9012, Recall: 0.9008, F1: 0.8992
Epoch 78/100, Loss: 0.0007, Accuracy: 0.9033, Precision: 0.9026, Recall: 0.9033, F1: 0.9026
Epoch 79/100, Loss: 0.0029, Accuracy: 0.9015, Precision: 0.9015, Recall: 0.9015, F1: 0.9002
Epoch 80/100, Loss: 0.0211, Accuracy: 0.8875, Precision: 0.8870, Recall: 0.8875, F1: 0.8871
Epoch 81/100, Loss: 0.0307, Accuracy: 0.8732, Precision: 0.8782, Recall: 0.8732, F1: 0.8721
Epoch 82/100, Loss: 0.0267, Accuracy: 0.8832, Precision: 0.8840, Recall: 0.8832, F1: 0.8821
Epoch 83/100, Loss: 0.0038, Accuracy: 0.8954, Precision: 0.8956, Recall: 0.8954, F1: 0.8944
Epoch 84/100, Loss: 0.0267, Accuracy: 0.8778, Precision: 0.8783, Recall: 0.8778, F1: 0.8776
Epoch 85/100, Loss: 0.0167, Accuracy: 0.8896, Precision: 0.8918, Recall: 0.8896, F1: 0.8872
Epoch 86/100, Loss: 0.0048, Accuracy: 0.8900, Precision: 0.8896, Recall: 0.8900, F1: 0.8887
Epoch 87/100, Loss: 0.0016, Accuracy: 0.8990, Precision: 0.8984, Recall: 0.8990, F1: 0.8984
Epoch 88/100, Loss: 0.0007, Accuracy: 0.9000, Precision: 0.9003, Recall: 0.9000, F1: 0.9001
Epoch 89/100, Loss: 0.0019, Accuracy: 0.9022, Precision: 0.9014, Recall: 0.9022, F1: 0.9012
Epoch 90/100, Loss: 0.0148, Accuracy: 0.8699, Precision: 0.8684, Recall: 0.8699, F1: 0.8685
Epoch 91/100, Loss: 0.0379, Accuracy: 0.8939, Precision: 0.8935, Recall: 0.8939, F1: 0.8936
Epoch 92/100, Loss: 0.0101, Accuracy: 0.8871, Precision: 0.8875, Recall: 0.8871, F1: 0.8850
Epoch 93/100, Loss: 0.0065, Accuracy: 0.9051, Precision: 0.9044, Recall: 0.9051, F1: 0.9045
Epoch 94/100, Loss: 0.0151, Accuracy: 0.8939, Precision: 0.8933, Recall: 0.8939, F1: 0.8926
Epoch 95/100, Loss: 0.0293, Accuracy: 0.8950, Precision: 0.8939, Recall: 0.8950, F1: 0.8942
Epoch 96/100, Loss: 0.0080, Accuracy: 0.8950, Precision: 0.8972, Recall: 0.8950, F1: 0.8932
Epoch 97/100, Loss: 0.0082, Accuracy: 0.9058, Precision: 0.9063, Recall: 0.9058, F1: 0.9042
Epoch 98/100, Loss: 0.0028, Accuracy: 0.8997, Precision: 0.8991, Recall: 0.8997, F1: 0.8993
Epoch 99/100, Loss: 0.0027, Accuracy: 0.8961, Precision: 0.8976, Recall: 0.8961, F1: 0.8940
Epoch 100/100, Loss: 0.0125, Accuracy: 0.8939, Precision: 0.8932, Recall: 0.8939, F1: 0.8927
